"date/time","X","Y","Z offset","Extr. Temp","Bed Temp","Z probe"
2014-08-15 06:08:42,98.67,54.33,-0.10,19.4,0.0,0.46
2014-08-15 06:08:42,98.67,98.67,-0.10,19.4,0.0,0.30
2014-08-15 06:08:42,98.67,143.00,-0.10,19.4,0.0,0.13
2014-08-15 06:08:42,143.00,10.00,-0.10,19.4,0.0,0.46
2014-08-15 06:08:42,143.00,54.33,-0.10,19.4,0.0,0.39
2014-08-15 06:08:42,143.00,98.67,-0.10,19.4,0.0,0.25
2014-08-15 06:08:42,143.00,143.00,-0.10,19.4,0.0,0.09
2014-08-15 06:08:26,10.00,10.00,-0.10,181.2,0.0,0.50
2014-08-15 06:08:26,10.00,54.33,-0.10,181.1,0.0,0.44
2014-08-15 06:08:26,10.00,98.67,-0.10,181.0,0.0,0.35
2014-08-15 06:08:26,10.00,143.00,-0.10,181.1,0.0,0.21
2014-08-15 06:08:26,54.33,10.00,-0.10,180.8,0.0,0.66
2014-08-15 06:08:26,54.33,54.33,-0.10,180.8,0.0,0.56
2014-08-15 06:08:26,54.33,98.67,-0.10,180.8,0.0,0.42
2014-08-15 06:08:26,54.33,143.00,-0.10,180.7,0.0,0.26
2014-08-15 06:08:26,98.67,10.00,-0.10,180.4,0.0,0.52
2014-08-15 06:08:26,98.67,54.33,-0.10,180.4,0.0,0.46
2014-08-15 06:08:26,98.67,98.67,-0.10,180.4,0.0,0.31
2014-08-15 06:08:26,98.67,143.00,-0.10,180.4,0.0,0.13
2014-08-15 06:08:26,143.00,10.00,-0.10,180.0,0.0,0.46
2014-08-15 06:08:26,143.00,54.33,-0.10,180.3,0.0,0.38
2014-08-15 06:08:26,143.00,98.67,-0.10,180.0,0.0,0.26
2014-08-15 06:08:26,143.00,143.00,-0.10,180.3,0.0,0.09
